Datum;Cas;Predpoved_FS_W;Odhad_Spotreba_W;Cena_EUR/MWh;Simulovane_SOC_%;Akce_EMS
2026-04-10;12:30;12946;64;99,37;63,1;NABIJET_SOLAREM
2026-04-10;12:45;12109;53;87,36;88,1;PRODAVAT_I_BATERII
2026-04-10;13:00;11272;36;100,84;63,1;NABIJET_SOLAREM
2026-04-10;13:15;10641;104;89,68;38,1;NABIJET_SOLAREM
2026-04-10;13:30;10010;50;87,46;63,0;NABIJET_SOLAREM
2026-04-10;13:45;9379;43;95,14;38,0;NABIJET_SOLAREM
2026-04-10;14:00;8748;49;89,32;43,3;NABIJET_SOLAREM
2026-04-10;14:15;8177;43;83,44;63,6;NABIJET_SOLAREM
2026-04-10;14:30;7606;39;89,01;82,5;PRODAVAT_I_BATERII
2026-04-10;14:45;7035;42;86,31;100,0;PRODAVAT_I_BATERII
2026-04-10;15:00;6464;25;90,2;100,0;PRODAVAT_I_BATERII
2026-04-10;15:15;5943;29;98,04;100,0;PRODAVAT_I_BATERII
2026-04-10;15:30;5422;67;101,27;100,0;PRODAVAT_I_BATERII
2026-04-10;15:45;4901;53;102,94;89,1;PRODAVAT_I_BATERII
2026-04-10;16:00;4380;28;97,81;100,0;PRODAVAT_I_BATERII
2026-04-10;16:15;3944;25;107,56;100,0;PRODAVAT_I_BATERII
2026-04-10;16:30;3508;27;116,68;100,0;PRODAVAT_I_BATERII
2026-04-10;16:45;3072;17;127,81;93,5;PRODAVAT_I_BATERII
2026-04-10;17:00;2636;18;114,82;100,0;PRODAVAT_I_BATERII
2026-04-10;17:15;2285;9;127,99;100,0;PRODAVAT_I_BATERII
2026-04-10;17:30;1934;38;136,51;100,0;PRODAVAT_I_BATERII
2026-04-10;17:45;1583;32;161,88;92,6;PRODAVAT_I_BATERII
2026-04-10;18:00;1232;37;123,15;95,6;PRODAVAT_I_BATERII
2026-04-10;18:15;1013;15;130,35;98,0;PRODAVAT_I_BATERII
2026-04-10;18:30;794;13;159,9;100,0;PRODAVAT_I_BATERII
2026-04-10;18:45;575;14;195,87;98,0;PRODAVAT_I_BATERII
2026-04-10;19:00;356;9;163,18;98,8;PRODAVAT_I_BATERII
2026-04-10;19:15;476;9;190,0;100,0;PRODAVAT_I_BATERII
2026-04-10;19:30;597;6;231,73;100,0;PRODAVAT_I_BATERII
2026-04-10;19:45;717;2;299,4;75,0;NABIJET_SOLAREM
2026-04-10;20:00;0;0;272,0;50,0;VYBIJET_PRO_DUM
2026-04-10;20:15;0;Nedostatek dat;259,0;25,0;VYBIJET_PRO_DUM
2026-04-10;20:30;0;Nedostatek dat;236,9;10,0;NORMALNI_PROVOZ
2026-04-10;20:45;0;Nedostatek dat;207,77;10,0;NORMALNI_PROVOZ
2026-04-10;21:00;0;Nedostatek dat;208,67;10,0;NORMALNI_PROVOZ
2026-04-10;21:15;0;Nedostatek dat;177,03;10,0;NORMALNI_PROVOZ
2026-04-10;21:30;0;Nedostatek dat;158,01;10,0;NORMALNI_PROVOZ
2026-04-10;21:45;0;Nedostatek dat;136,82;10,0;NORMALNI_PROVOZ
2026-04-10;22:00;0;Nedostatek dat;165,95;10,0;NORMALNI_PROVOZ
2026-04-10;22:15;0;Nedostatek dat;150,0;10,0;NORMALNI_PROVOZ
2026-04-10;22:30;0;Nedostatek dat;141,9;10,0;NORMALNI_PROVOZ
2026-04-10;22:45;0;Nedostatek dat;127,32;10,0;NORMALNI_PROVOZ
2026-04-10;23:00;0;Nedostatek dat;139,1;10,0;NORMALNI_PROVOZ
2026-04-10;23:15;0;Nedostatek dat;134,61;10,0;NORMALNI_PROVOZ
2026-04-10;23:30;0;Nedostatek dat;132,2;10,0;NORMALNI_PROVOZ
2026-04-10;23:45;0;Nedostatek dat;127,48;10,0;NORMALNI_PROVOZ
2026-04-11;00:00;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;00:15;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;00:30;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;00:45;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;01:00;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;01:15;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;01:30;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;01:45;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;02:00;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;02:15;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;02:30;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;02:45;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;03:00;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;03:15;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;03:30;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;03:45;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;04:00;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;04:15;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;04:30;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;04:45;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;05:00;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;05:15;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;05:30;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;05:45;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;06:00;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;06:15;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;06:30;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;06:45;0;Nedostatek dat;0,0;10,0;NABIJET_ZE_SITE
2026-04-11;07:00;6132;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;07:15;8574;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;07:30;11016;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;07:45;13458;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;08:00;15900;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;08:15;17122;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;08:30;18344;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;08:45;19566;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;09:00;20788;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;09:15;21180;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;09:30;21572;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;09:45;21964;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;10:00;22356;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;10:15;22013;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;10:30;21670;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;10:45;21327;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;11:00;20984;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;11:15;20231;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;11:30;19478;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;11:45;18725;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;12:00;17972;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;12:15;17113;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;12:30;16254;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;12:45;15395;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;13:00;14536;Nedostatek dat;0,0;10,0;NABIJET_SOLAREM
2026-04-11;13:15;13642;70;0,0;10,0;NABIJET_SOLAREM
2026-04-11;13:30;12748;157;0,0;10,0;NABIJET_SOLAREM
2026-04-11;13:45;11854;154;0,0;10,0;NABIJET_SOLAREM
2026-04-11;14:00;10960;151;0,0;10,0;NABIJET_SOLAREM
2026-04-11;14:15;10111;148;0,0;10,0;NABIJET_SOLAREM
2026-04-11;14:30;9262;140;0,0;10,0;NABIJET_SOLAREM
2026-04-11;14:45;8413;143;0,0;10,0;NABIJET_SOLAREM
2026-04-11;15:00;7564;123;0,0;10,0;NABIJET_SOLAREM
2026-04-11;15:15;6864;103;0,0;10,0;NABIJET_SOLAREM
2026-04-11;15:30;6164;97;0,0;14,0;NABIJET_SOLAREM
2026-04-11;15:45;5464;84;0,0;27,5;NABIJET_SOLAREM
2026-04-11;16:00;4764;69;0,0;39,2;NABIJET_SOLAREM
2026-04-11;16:15;4250;53;0,0;49,7;NABIJET_SOLAREM
2026-04-11;16:30;3736;53;0,0;58,9;NABIJET_SOLAREM
2026-04-11;16:45;3222;43;0,0;66,8;NABIJET_SOLAREM
2026-04-11;17:00;2708;45;0,0;73,5;NABIJET_SOLAREM
2026-04-11;17:15;2340;49;0,0;79,2;NABIJET_SOLAREM
2026-04-11;17:30;1972;51;0,0;84,0;NABIJET_SOLAREM
2026-04-11;17:45;1604;43;0,0;87,9;NABIJET_SOLAREM
2026-04-11;18:00;1236;44;0,0;90,9;NABIJET_SOLAREM
2026-04-11;18:15;1033;29;0,0;93,4;NABIJET_SOLAREM
2026-04-11;18:30;830;31;0,0;95,4;PRODAVAT_DO_SITE
2026-04-11;18:45;627;24;0,0;96,9;PRODAVAT_DO_SITE
2026-04-11;19:00;424;16;0,0;97,9;PRODAVAT_DO_SITE
2026-04-11;19:15;424;12;0,0;99,0;PRODAVAT_DO_SITE
2026-04-11;19:30;424;12;0,0;100,0;PRODAVAT_DO_SITE
2026-04-11;19:45;0;3;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;20:00;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;20:15;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;20:30;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;20:45;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;21:00;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;21:15;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;21:30;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;21:45;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;22:00;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;22:15;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;22:30;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;22:45;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;23:00;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;23:15;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;23:30;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-11;23:45;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;00:00;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;00:15;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;00:30;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;00:45;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;01:00;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;01:15;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;01:30;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;01:45;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;02:00;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;02:15;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;02:30;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;02:45;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;03:00;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;03:15;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;03:30;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;03:45;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;04:00;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;04:15;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;04:30;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;04:45;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;05:00;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;05:15;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;05:30;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;05:45;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;06:00;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;06:15;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;06:30;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;06:45;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;07:00;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;07:15;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;07:30;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
2026-04-12;07:45;0;Nedostatek dat;0,0;100,0;VYBIJET_PRO_DUM
